TrieuChung,TrongSo
bong tróc da,2
buồn bã kéo dài,4
buồn nôn,3
bầm tím,3
chán ăn,3
chóng mặt,4
chảy máu cam,5
chảy mủ tai,4
chảy nước mắt,2
chậm chạp,2
co giật,7
cộm mắt,2
cứng cổ,6
cứng khớp,4
cứng đờ,4
da khô,1
da xanh xao,3
da đỏ,2
ghèn mắt,1
giảm khứu giác,3
giảm thính lực,4
ho,3
ho có đờm,4
ho khan,3
ho kéo dài,4
ho ra máu,7
hôi miệng,1
hạn chế vận động,3
hắt hơi,2
hồi hộp,4
khàn tiếng,3
khát nước nhiều,4
khó nuốt,3
khó thở,6
khó tập trung,3
kéo dài,2
lo lắng quá mức,4
loét miệng,3
lơ mơ,6
lồi mắt,4
méo miệng,7
mất hứng thú,3
mất khứu giác,4
mất ngủ,3
mất nước,5
mất thăng bằng,4
mất ý thức,7
mắt đỏ,3
mệt mỏi,3
mờ mắt,4
mụn nước,3
nghẹt mũi,2
ngứa,2
ngứa hậu môn,2
ngứa mắt,2
nhạy cảm ánh sáng,3
nói khó,6
nóng khớp,3
nôn,4
nôn ra máu,6
nước tiểu sẫm màu,4
nước tiểu đục,3
nổi mẩn,2
phát ban,4
phân cứng,2
phù chân,4
ra khí hư,2
run tay,3
rối loạn kinh nguyệt,3
rụng tóc,1
sa búi trĩ,3
sưng,3
sưng amidan,4
sưng hạch,4
sưng khớp,4
sưng môi,4
sưng tuyến mang tai,4
sốt,4
sốt cao,6
sốt nhẹ,3
sổ mũi,2
sợ lạnh,2
sụt cân,5
thở khò khè,5
tiêu chảy,4
tiểu buốt,4
tiểu nhiều,3
tiểu nhiều lần,3
tiểu ra máu,5
tiểu rắt,3
tiểu ít,4
táo bón,3
tê tay chân,3
tăng cân,2
vàng da,5
yếu liệt tay chân,7
ù tai,3
đau,3
đau bụng,4
đau bụng dưới,4
đau dữ dội,5
đau dữ dội về đêm,4
đau hạ sườn phải,3
đau hậu môn,3
đau họng,4
đau hố chậu phải,5
đau khi nhai,3
đau khi quan hệ,3
đau khớp,4
đau lan cánh tay,6
đau lưng,4
đau mắt,3
đau mặt,3
đau ngực,6
đau nhức cơ,3
đau quặn thận,6
đau rát da,4
đau sau hốc mắt,5
đau tai,4
đau thượng vị,4
đau xương,4
đau đầu,4
đau đầu dữ dội,6
đi lại khó,4
đi ngoài khó,3
đi ngoài ra máu,5
đói nhiều,2
đầy hơi,2
đỏ khớp,4
đổ mồ hôi,3
đổ mồ hôi lạnh,6
đổ mồ hôi đêm,3
ớn lạnh,4
ợ chua,2
ợ nóng,2
