en,vi
abdominal_pain,bụng
abnormal_menstruation,kinh nguyệt
acidity,ợ
acute_liver_failure,gan
altered_sensorium,lơ mơ
anxiety,lo
back_pain,lưng
belly_pain,bụng dưới
blackheads,mụn đen
bladder_discomfort,bàng quang
blister,rộp
blood_in_sputum,đờm
bloody_stool,phân
blurred_and_distorted_vision,mờ
breathlessness,khó thở
brittle_nails,móng
bruising,bầm
burning_micturition,tiểu
chest_pain,ngực
chills,ớn
constipation,táo bón
continuous_sneezing,hắt hơi
cough,ho
cramps,chuột rút
dark_urine,tiểu sẫm
depression,buồn
diarrhoea,tiêu chảy
dizziness,chóng mặt
excessive_hunger,đói
extra_marital_contacts,ngoại tình
family_history,di truyền
fast_heart_rate,tim
fatigue,mệt
foul_smell_of urine,tiểu hôi
headache,đầu
high_fever,sốt
hip_joint_pain,háng
history_of_alcohol_consumption,rượu
increased_appetite,thèm ăn
indigestion,khó tiêu
inflammatory_nails,viêm móng
internal_itching,ngứa trong
irregular_sugar_level,đường
irritability,gắt
irritation_in_anus,hậu môn
itching,ngứa
joint_pain,khớp
knee_pain,đầu gối
lack_of_concentration,tập trung
lethargy,lờ đờ
loss_of_appetite,chán ăn
loss_of_balance,thăng bằng
loss_of_smell,khứu giác
malaise,khó chịu
mild_fever,sốt
mood_swings,tâm trạng
movement_stiffness,cứng khớp
mucoid_sputum,đờm
muscle_pain,cơ
muscle_wasting,teo cơ
muscle_weakness,yếu cơ
nausea,buồn nôn
neck_pain,cổ
nodal_skin_eruptions,mẩn
obesity,béo
pain_behind_the_eyes,mắt
pain_during_bowel_movements,tiêu
pain_in_anal_region,hậu môn
painful_walking,đi
palpitations,hồi hộp
passage_of_gases,hơi
patches_in_throat,họng
phlegm,đờm
polyuria,tiểu
prominent_veins_on_calf,chân
puffy_face_and_eyes,sưng
pus_filled_pimples,mụn mủ
receiving_blood_transfusion,truyền máu
receiving_unsterile_injections,tiêm
red_sore_around_nose,mũi
red_spots_over_body,đốm đỏ
redness_of_eyes,đỏ mắt
restlessness,bồn chồn
runny_nose,sổ mũi
rusty_sputum,đờm
scurring,sẹo
shivering,run
silver_like_dusting,vảy
sinus_pressure,xoang
skin_peeling,bong da
skin_rash,ban
slurred_speech,ngọng
small_dents_in_nails,lõm móng
spinning_movements,chóng mặt
spotting_ urination,tiểu
stiff_neck,cứng cổ
stomach_bleeding,dạ dày
stomach_pain,bao tử
sunken_eyes,trũng
sweating,mồ hôi
swelled_lymph_nodes,hạch
swelling_joints,sưng khớp
swelling_of_stomach,sưng bụng
swollen_blood_vessels,mạch
swollen_extremeties,sưng chi
swollen_legs,sưng chân
throat_irritation,ngứa họng
toxic_look_(typhos),độc
ulcers_on_tongue,lưỡi
unsteadiness,không vững
visual_disturbances,thị giác
vomiting,nôn
watering_from_eyes,nước mắt
weakness_in_limbs,yếu chi
weakness_of_one_body_side,liệt
weight_gain,tăng cân
weight_loss,sụt cân
yellow_crust_ooze,dịch
yellow_urine,tiểu vàng
yellowing_of_eyes,vàng mắt
yellowish_skin,vàng da
